X,logFC,AveExpr,t,P.Value,adj.P.Val,B
SMU1,-0.491280153,6.647662247,-1.92313818,0.067648139,0.998285169,-4.400348508
CD2BP2,0.600835021,5.734255645,2.464649941,0.027528089,0.998285169,-4.400981563
ILK,-0.331532881,8.636323474,-1.878131093,0.073236526,0.998285169,-4.401015819
A0A9L0SF58,-0.553081527,6.859673196,-1.942784399,0.065730567,0.998285169,-4.401079513
TMEM43,-0.42250432,9.179450702,-1.876061551,0.073531933,0.998285169,-4.401585672
PRKRA,-0.688516622,5.327735139,-1.900532632,0.07069464,0.998285169,-4.40281001
MCTS1,-0.508283494,8.918306178,-1.89072546,0.072053349,0.998285169,-4.405400221
ATXN2,-0.575261644,5.744267802,-2.563309887,0.02387679,0.998285169,-4.407076471
TARS3,-0.43248548,7.376941084,-1.947250895,0.065160815,0.998285169,-4.407818112
FCHO2,0.61380694,5.779808215,2.557182166,0.024153541,0.998285169,-4.407852611
IGSF10,0.495308007,6.779624292,1.84991814,0.077354025,0.998285169,-4.408756596
ARF2,-0.309872663,9.565718213,-1.845472896,0.078020806,0.998285169,-4.409970713
C13H7orf50,-0.600764617,6.044110544,-2.12547906,0.048726369,0.998285169,-4.410543147
CKAP5,-0.489911526,6.615635422,-1.839578929,0.078912586,0.998285169,-4.411578164
MAP1B,0.48466268,6.493102613,1.835972667,0.079462578,0.998285169,-4.412560364
SULF2,-0.478975818,7.446829779,-2.034108697,0.057157845,0.998285169,-4.413665726
UBB,-0.374226457,14.8382866,-1.898051057,0.0716841,0.998285169,-4.414160371
BLOC1S1,0.89956504,6.646124938,2.50576139,0.026601607,0.998285169,-4.414387603
BAG5,0.413821738,5.758746157,1.890074238,0.0727942,0.998285169,-4.416134649
STK10,0.441933908,9.748942532,1.814722937,0.08277132,0.998285169,-4.418327195
EIF5A,0.723546474,8.191157615,2.072177706,0.05400345,0.998285169,-4.420800991
LYPLA2,-0.393233769,7.11608959,-1.8030843,0.084633537,0.998285169,-4.421470503
SNAPIN,0.515586802,5.440596796,1.971073392,0.063652844,0.998285169,-4.424661054
FUS,-0.375503522,9.496828361,-1.788026899,0.087096319,0.998285169,-4.425520857
DYNC1H1,-0.296985248,7.263570052,-1.786884491,0.087285664,0.998285169,-4.425827402
LOC111770931,-0.309515719,8.237903409,-1.778200656,0.088736557,0.998285169,-4.428154029
ME1,-0.341303047,10.25020393,-1.77748543,0.088856976,0.998285169,-4.428345379
MMAB,0.330966927,6.435477315,1.921883896,0.069945269,0.998285169,-4.42839177
PCYT2,0.57231808,5.766217754,1.89960776,0.072972263,0.998285169,-4.431136358
FIBIN,0.823754643,5.758251805,1.860025061,0.077836406,0.998285169,-4.431203288
ASS1,-0.486347897,10.26681476,-1.766119862,0.090789459,0.998285169,-4.431380359
LNX1,1.265584001,8.05295814,1.818992564,0.083370344,0.998285169,-4.431939376
TNFAIP6,-1.328474075,7.214519461,-2.366047703,0.03452192,0.998285169,-4.432317296
DEFB4B,-1.167394939,11.67859689,-1.784251211,0.088336805,0.998285169,-4.433090474
HS3ST1,0.765353544,9.624934948,1.759453569,0.091939619,0.998285169,-4.433155431
SEC61A2,-0.602766616,7.272329299,-2.24086631,0.04207862,0.998285169,-4.433498428
GGA2,0.663227924,5.278548625,2.356614025,0.035131292,0.998285169,-4.433535656
TMEM109,-0.494205796,8.892217402,-1.780772395,0.088918623,0.998285169,-4.433981218
TBC1D13,0.480798258,6.02305132,2.049601557,0.056391576,0.998285169,-4.434297246
RNPS1,-0.378918607,8.690548307,-1.790699609,0.087267015,0.998285169,-4.434318303
EML2,0.522114775,6.943957832,1.858385778,0.078078718,0.998285169,-4.435299477
COX5A,-0.317691155,7.749509397,-1.879485518,0.075805586,0.998285169,-4.43557199
RASA1,0.637662766,5.470044149,1.950480436,0.067084211,0.998285169,-4.436036952
ZNF830,-0.603184148,5.354215518,-2.117322661,0.051643163,0.998285169,-4.436417414
RPS27A,-0.393070528,12.17185467,-1.742166774,0.094980483,0.998285169,-4.437740876
COMMD3,-0.287890337,5.602231406,-1.799861568,0.086435875,0.998285169,-4.438188432
RCN2,-0.40300159,6.405595896,-1.752540791,0.093763514,0.998285169,-4.441175374
AARSD1,0.35406679,8.703845957,1.728778179,0.097394315,0.998285169,-4.441274608
COL6A5,-0.743745813,5.504935065,-2.050341817,0.057350489,0.998285169,-4.441989022
HTRA3,0.694437827,10.02913834,1.725502737,0.097992747,0.998285169,-4.442136737
LAMP2,-0.489671171,7.664209695,-1.745143573,0.095069824,0.998285169,-4.443050077
SLC38A3,-0.712513361,7.058721889,-1.953919059,0.067610929,0.998285169,-4.443330569
PRUNE1,0.582019892,7.303906685,2.27667837,0.04072263,0.998285169,-4.443889528
TXNRD1,0.381764297,7.083504003,1.718259509,0.099327238,0.998285169,-4.44403988
PCYOX1,-0.320630991,7.138042292,-1.713811958,0.100154294,0.998285169,-4.44520617
GRAMD1B,0.62611182,9.46758675,1.769593089,0.091485546,0.998285169,-4.445468688
PGM2L1,0.454584986,6.778245266,1.787406597,0.088483749,0.998285169,-4.445843688
A0A3Q2IDT4,0.532187486,9.362660388,1.730559745,0.097690972,0.998285169,-4.44673334
ACP1,-0.315396222,8.78519568,-1.706615781,0.101504881,0.998285169,-4.447089514
ITGB6,-0.60647784,8.350189362,-1.761183929,0.092932858,0.998285169,-4.447480056
FAH,-0.349693185,9.721703573,-1.70478083,0.101851732,0.998285169,-4.447569008
PRPF6,-0.254076814,6.746314418,-1.72296484,0.099080303,0.998285169,-4.448644713
MPST,0.309433501,8.523911448,1.696316775,0.103464699,0.998285169,-4.449776851
PANK4,0.479399889,5.635751394,2.056870961,0.05782574,0.998285169,-4.449894569
MAP3K20,-0.319576166,7.634944403,-1.750558726,0.094789742,0.998285169,-4.450014354
FAF1,0.336175586,5.434083808,1.816184655,0.085360454,0.998285169,-4.451269146
GAPDHS,0.366039959,8.199697041,1.718564719,0.099892907,0.998285169,-4.452287386
RAB33B,-0.364572521,6.979416296,-1.801534082,0.087716548,0.998285169,-4.452566901
MSI2,0.368481598,7.028009176,1.714976402,0.100559791,0.998285169,-4.45317063
GORASP1,0.519143856,5.280137061,1.753096021,0.094343442,0.998285169,-4.453798005
AP2A2,0.264672419,7.058040761,1.708663814,0.101742191,0.998285169,-4.454721923
ITM2B,0.762078683,4.823965611,1.826242217,0.084676284,0.998285169,-4.456512626
A0A5F5PTR6,0.74172349,7.387350629,1.845520493,0.081704322,0.998285169,-4.456875545
CFI,0.461756416,10.78236311,1.657346821,0.111172982,0.998285169,-4.459857829
DKC1,-0.301945466,6.896815341,-1.6542633,0.111803048,0.998285169,-4.460649481
PPA2,0.33472511,5.812327608,1.702366924,0.103617122,0.998285169,-4.461406465
MAFF,-0.725653295,4.431504731,-1.902371728,0.075561633,0.998285169,-4.461475782
LOC100060547,-0.530723231,7.779261602,-1.801535622,0.088623583,0.998285169,-4.461489082
DHX15,-0.281970703,8.781211982,-1.650968932,0.112479514,0.998285169,-4.461494277
CDIPT,-0.278031731,7.488360984,-1.650582929,0.112559001,0.998285169,-4.461593196
NELFE,0.373694949,6.484526215,1.701320586,0.103816319,0.998285169,-4.461651903
GSTM3,-0.266776487,10.06477111,-1.649260478,0.112831682,0.998285169,-4.461931985
REM1,-0.406684936,7.58274758,-1.648784102,0.112930043,0.998285169,-4.462053983
DNAJC8,0.490817265,6.087565542,1.664014038,0.110447811,0.998285169,-4.463318022
GOLPH3L,-0.344046834,6.244983086,-1.690284965,0.105937182,0.998285169,-4.464235473
KRTCAP2,-0.436991047,6.352461019,-1.639918119,0.114773874,0.998285169,-4.464320613
MTX2,0.715195627,5.562482628,1.906873602,0.074938579,0.998285169,-4.46621429
LOC100630489,0.628206776,6.912268367,1.83136297,0.084884913,0.998285169,-4.466249657
PRPF38A,-0.383169739,6.576260471,-1.730911229,0.099885017,0.998285169,-4.467682347
ADAL,0.530480886,6.768964144,1.653683204,0.112549478,0.998285169,-4.468094381
PPP2CA,-0.289706535,9.232506912,-1.62145209,0.118695367,0.998285169,-4.469017411
B4GALT7,-0.568531177,5.801946048,-1.996246344,0.066092914,0.998285169,-4.469109327
NOP16,-0.561767862,5.999847729,-1.728622629,0.100302613,0.998285169,-4.46978536
G3BP2,-0.366600461,6.30205781,-1.808882381,0.088446797,0.998285169,-4.470396483
HMGCL,0.262744123,5.897673953,1.64284214,0.11479111,0.998285169,-4.47070103
GRK5,0.287129219,6.579850268,1.613162903,0.120491791,0.998285169,-4.47111503
COPS6,0.560267367,8.231190167,1.640849661,0.115207162,0.998285169,-4.471179001
SSH3,0.402855646,5.511191055,1.693779694,0.106015056,0.998285169,-4.471908161
HAT1,0.448613454,5.662933024,1.719949592,0.101068753,0.998285169,-4.47221676
EIF3K,-0.288977928,7.679698193,-1.608188863,0.121580618,0.998285169,-4.472370515
DMGDH,-0.424699606,6.074908499,-1.7115675,0.103462253,0.998285169,-4.473341057
ELOB,0.56975721,6.986911571,1.629818338,0.117533642,0.998285169,-4.473819025
CLTC,-0.368747352,9.573912622,-1.601948062,0.122958339,0.998285169,-4.473942304
SEPTIN6,0.347691943,6.439104308,1.59921281,0.123566261,0.998285169,-4.474629986
UXS1,0.496961188,6.967070555,1.644410664,0.115152603,0.998285169,-4.474874213
STRN,0.437133703,6.72719044,1.62331749,0.11892304,0.998285169,-4.475369817
PON1,0.628514478,7.171883901,1.676117588,0.109468977,0.998285169,-4.475733616
CERT1,0.457737406,5.484660623,1.949462373,0.071925836,0.998285169,-4.475873219
EIF3A,-0.25106253,8.126285654,-1.590695729,0.125475269,0.998285169,-4.476766554
PPP3CB,-0.312420783,7.738264747,-1.589006175,0.125856863,0.998285169,-4.477189532
ILF2,-0.262781281,8.389488732,-1.583278891,0.127157581,0.998285169,-4.478621229
LOC100071548,0.383538548,7.145682003,1.583067624,0.127205774,0.998285169,-4.478673978
APEX1,-0.334408928,9.315135338,-1.576743257,0.128655493,0.998285169,-4.480250973
NOP56,-0.254866043,7.135041263,-1.576467176,0.12871909,0.998285169,-4.480319723
H2AZ2,-0.685043254,11.31241035,-1.592043077,0.125800962,0.998285169,-4.480822611
MOB4,-0.565232048,6.843554272,-1.703102479,0.105987422,0.998285169,-4.481020138
UBE2I,-0.307076321,8.793073688,-1.573579036,0.129385945,0.998285169,-4.481038465
FBP1,0.530893262,6.681708293,1.670592932,0.111404399,0.998285169,-4.481811169
COL4A2,0.602643938,7.623441902,1.566122483,0.131120864,0.998285169,-4.482890192
COG3,0.457663834,5.644996729,1.827305058,0.087944913,0.998285169,-4.483191502
A0A3Q2HLK6,-0.389032891,8.983367535,-1.56058125,0.132422571,0.998285169,-4.484262609
DDOST,-0.433134124,9.132402758,-1.558262976,0.132970322,0.998285169,-4.484835853
THBS2,1.226175253,8.78629423,1.832563635,0.087121309,0.998285169,-4.485072508
FBXO30,-0.314409876,7.508316097,-1.679614204,0.110540544,0.998285169,-4.485605418
PEF1,-0.295402368,8.193236315,-1.553867987,0.134013887,0.998285169,-4.485921096
MAP2K2,-0.233374265,7.036789306,-1.549118009,0.13514933,0.998285169,-4.487091758
POLR2G,0.43751856,5.644931186,1.714740037,0.104825391,0.998285169,-4.487538226
EMD,-0.330409567,6.941240762,-1.545013406,0.136136877,0.998285169,-4.488101485
TARDBP,0.221332373,7.340130993,1.569124691,0.131049137,0.998285169,-4.488150096
F10,0.555296498,6.933878485,1.741314496,0.101112979,0.998285169,-4.489202877
PGK2,0.655079826,8.612010763,1.538776126,0.137648904,0.998285169,-4.489632499
SERPINA6,0.541716888,6.750876685,1.700417801,0.107535037,0.998285169,-4.490111896
SGK3,-0.302738023,6.564863979,-1.575779047,0.13019621,0.998285169,-4.490472595
BZW2,-0.367614979,6.123042728,-1.589594019,0.127042713,0.998285169,-4.4905365
HSD17B12,-0.308584549,8.521121286,-1.533091302,0.139039011,0.998285169,-4.491024373
SERPINB6,-0.25285152,7.998154956,-1.528503222,0.140169324,0.998285169,-4.492145249
CCDC80,-0.590395333,13.25944439,-1.527804592,0.140342097,0.998285169,-4.492315732
SDCBP,-0.347782393,8.182511712,-1.527734951,0.140359329,0.998285169,-4.492332723
RRS1,-0.485583887,6.154240001,-1.721960298,0.104644419,0.998285169,-4.492474407
MAT2A,0.307627149,7.723786947,1.549837343,0.135605426,0.998285169,-4.492633421
MORF4L1,0.429672625,6.458617132,1.746542237,0.10017714,0.998285169,-4.492661426
KRT89,-0.69118368,7.432530973,-1.782973493,0.095167731,0.998285169,-4.492705176
GAR1,-0.367173475,7.684607022,-1.52417985,0.141241313,0.998285169,-4.493199431
BMP6,0.675043258,7.09320568,1.523829964,0.141328361,0.998285169,-4.493284658
CPSF7,0.385941981,6.760321143,1.546110271,0.136500808,0.998285169,-4.493495733
CASP6,0.468915731,5.624794021,1.561107089,0.133616441,0.998285169,-4.493755477
SRPRB,-0.374449913,7.041239576,-1.521879435,0.14181444,0.998285169,-4.493759544
SH3GLB1,0.363311034,6.913377106,1.653361152,0.1158271,0.998285169,-4.493764313
ELP1,0.523121724,5.763453897,1.884177746,0.082530111,0.998285169,-4.494926215
TPRKB,-0.638307495,5.263691631,-1.603395749,0.125553395,0.998285169,-4.495468425
DR1,-0.397848455,7.223591651,-1.642758266,0.118022599,0.998285169,-4.495743986
TRAP1,-0.458932524,5.547613416,-1.658624186,0.115790286,0.998285169,-4.495881415
RRM1,-0.550576904,5.592122201,-1.808486024,0.092433959,0.998285169,-4.496062779
UBE2V1,-0.255327905,9.374440347,-1.511112684,0.144522255,0.998285169,-4.49637361
MOB1B,-0.289329025,7.376680376,-1.548140759,0.136700862,0.998285169,-4.496641065
PGD,-0.28733543,9.312913807,-1.507987399,0.145316127,0.998285169,-4.497130087
KYAT3,-0.305237276,7.826382797,-1.506065103,0.145806188,0.998285169,-4.497594861
HRG,0.573169413,10.66861795,1.500423452,0.147252241,0.998285169,-4.498956613
PDGFRB,0.390774666,6.168694014,1.682735101,0.112132035,0.998285169,-4.499059137
LOC100054601,-0.262160559,10.69173192,-1.494200168,0.14886092,0.998285169,-4.500454779
SERBP1,-0.265835756,8.44664589,-1.493583095,0.149021207,0.998285169,-4.500603102
ACTL6A,0.261972485,6.524771175,1.529888294,0.141142439,0.998285169,-4.500677783
RNASE6,1.034525,6.021740443,1.72705429,0.105022598,0.998285169,-4.501228972
MT-ATP8,-0.600930032,7.517135117,-1.612995285,0.124375653,0.998285169,-4.50126634
PLA2G2A,-1.057073795,8.404663763,-1.505227071,0.146646251,0.998285169,-4.501294619
ARSK,-0.927583109,7.021959301,-1.832147299,0.090368649,0.998285169,-4.501625691
ALAD,-0.336666847,9.865420187,-1.488304374,0.15039812,0.998285169,-4.501870239
GPS1,-0.195624773,7.597190589,-1.488072466,0.150458848,0.998285169,-4.501925839
ARF5,-0.256234077,9.902940271,-1.487371034,0.150642648,0.998285169,-4.502093969
APTX,0.653314714,4.983501331,1.632465173,0.121229338,0.998285169,-4.502187646
STEAP3,0.412392567,7.12827977,1.535190556,0.139840069,0.998285169,-4.502291964
MAPK3,-0.245332249,7.962958227,-1.486340884,0.150912915,0.998285169,-4.502340795
SNX18,0.260418197,7.779703554,1.4857188,0.151076314,0.998285169,-4.502489792
RAB1B,-0.259043837,10.30687968,-1.483757141,0.151592511,0.998285169,-4.502959356
CBFB,0.279414735,7.613462973,1.501621396,0.147569923,0.998285169,-4.503685713
SRP68,-0.218307233,7.195205002,-1.47573576,0.153718212,0.998285169,-4.504875064
C1S,0.339522035,6.91167184,1.552820049,0.137176233,0.998285169,-4.505543349
PACSIN2,0.229826305,9.041421129,1.470417641,0.155140817,0.998285169,-4.506141269
AQP1,-1.405214364,6.842483495,-1.796547652,0.096112082,0.998285169,-4.506188017
OMD,0.459339289,9.958184675,1.466838734,0.15610417,0.998285169,-4.506991625
MYH7,-1.713819774,5.707358391,-1.566215392,0.134945044,0.998285169,-4.507286808
OSBP,-0.238429408,8.134602752,-1.464020786,0.156866094,0.998285169,-4.507660178
MYO1E,0.274343109,6.499668667,1.468115989,0.156382284,0.998285169,-4.511231222
RANBP1,-0.352108826,8.449105698,-1.448242281,0.161188041,0.998285169,-4.511387271
PDK3,-0.588444308,6.677043027,-1.657955067,0.118425402,0.998285169,-4.511623773
TRAPPC3,0.291339099,7.502541961,1.490428921,0.151151731,0.998285169,-4.51177231
PXDN,0.243556646,6.102486531,1.463039065,0.157754131,0.998285169,-4.512364674
RBP4,0.322306387,7.618532922,1.457779102,0.15918571,0.998285169,-4.513536212
BLMH,-0.353870048,7.566828449,-1.436905167,0.164352282,0.998285169,-4.514048006
LOXL4,-0.376222628,8.118638905,-1.436103122,0.164578014,0.998285169,-4.51423569
CHORDC1,0.370848668,5.951045176,1.584755517,0.132883761,0.998285169,-4.515214213
LOC100054696,0.194462222,7.352642697,1.429804358,0.166359446,0.998285169,-4.515707104
IMP3,-0.348766186,5.807628525,-1.546842606,0.140577997,0.998285169,-4.515730122
ACTR10,0.350930053,5.339326047,1.514741441,0.146507977,0.998285169,-4.516127426
PRKACB,-0.751629255,5.126966287,-1.614836893,0.127519308,0.998285169,-4.516155453
RAB6B,-0.28255016,9.408730095,-1.445203049,0.162651115,0.998285169,-4.516325711
FLNC,-0.377721699,6.988798632,-1.42241784,0.168468188,0.998285169,-4.51742686
GULP1,0.248957043,7.772964004,1.419386271,0.169339828,0.998285169,-4.518130875
ARFGAP3,0.191853095,6.47591827,1.433576701,0.165908746,0.998285169,-4.518889968
MYO6,-0.351632478,6.638728822,-1.515215775,0.147316202,0.998285169,-4.519026127
CAMK2D,-0.263619564,7.251121382,-1.412482716,0.171338208,0.998285169,-4.519730129
