X,logFC,AveExpr,t,P.Value,adj.P.Val,B
C2H1orf50,-0.805808471,6.383650094,-3.373872427,0.003595443,0.07217609,-1.874470919
ESYT2,0.556974116,8.252816119,3.329236579,0.002912078,0.062243059,-1.877611351
ABI3BP,0.991320104,7.789992025,3.326195434,0.00293353,0.0622537,-1.884493305
ANGPTL4,0.670978426,7.145073923,3.321873944,0.002964277,0.062460058,-1.894269062
ITM2C,1.134513568,6.301151582,3.32852847,0.003183392,0.065969029,-1.900768932
GDA,0.8156258,8.824793715,3.310794577,0.003044544,0.063699577,-1.919312791
AP5Z1,0.70637109,9.623149835,3.290455506,0.003197422,0.065969029,-1.965214306
LOC100066438,1.336160298,8.216805341,3.281124007,0.00372671,0.073324877,-2.014688569
RHOA,-0.769751261,9.456679009,-3.263765595,0.003409374,0.069378425,-2.02530265
GALNT16,0.705484784,6.484690025,3.27031898,0.004016371,0.077310218,-2.051692221
HAMP,1.522936632,7.779871873,3.252939546,0.003797946,0.074234851,-2.065978083
PDGFRL,0.866869331,9.797894293,3.243622038,0.003578296,0.07217609,-2.070540727
HDLBP,-0.528785976,8.85995967,-3.234767656,0.003655087,0.072880971,-2.090394666
STX4,-0.54304807,7.630829109,-3.230549787,0.003692227,0.073130701,-2.09984553
GDF1,2.063256155,6.858808241,3.241697676,0.004516528,0.081324876,-2.112477954
EGFR,-0.595003994,6.60853605,-3.227927259,0.004209786,0.07877543,-2.119094885
PCSK6,0.79959793,6.814079833,3.21942308,0.004106068,0.077701444,-2.138865818
EXTL2,0.626297017,7.627775705,3.213773278,0.004348277,0.079745257,-2.15877959
CCN2,0.934501757,10.7172983,3.201807922,0.003955206,0.076803372,-2.16412906
PDIA3,-0.605519091,10.78362869,-3.193623053,0.00403335,0.077310218,-2.182397172
CCN1,0.841839626,8.188556831,3.190498973,0.004063569,0.077390153,-2.18936542
MOB2,0.768894266,6.699562922,3.212050778,0.005100092,0.087585967,-2.194198494
OAT,-0.627245907,9.911580694,-3.17350149,0.004231856,0.07877543,-2.227234262
HSPA5,-0.639031015,11.31673344,-3.172461746,0.004242366,0.07877543,-2.229548289
ARL3,-0.435200673,9.620254986,-3.166644723,0.004301631,0.079379793,-2.2424893
AHNAK,-0.735901275,11.71558084,-3.156456611,0.004407362,0.080332963,-2.2651332
